width,error_width,height,error_height
20.2,0.1,6.4,0.2
20.2,0.1,6.4,0.2
20.2,0.1,6.6,0.2
20.2,0.1,6.5,0.2
20.2,0.1,6.4,0.2
18.0,0.1,5.5,0.2
18.0,0.1,5.3,0.2
18.0,0.1,5.3,0.2
18.0,0.1,5.4,0.2
18.0,0.1,5.3,0.2
16.0,0.1,4.9,0.2
16.0,0.1,5.1,0.2
16.0,0.1,5.3,0.2
16.0,0.1,4.6,0.2
16.0,0.1,5.3,0.2
14.0,0.1,4.3,0.2
14.0,0.1,4.0,0.2
14.0,0.1,4.3,0.2
14.0,0.1,4.2,0.2
14.0,0.1,4.2,0.2
12.0,0.1,3.8,0.2
12.0,0.1,3.9,0.2
12.0,0.1,3.9,0.2
12.0,0.1,3.8,0.2
12.0,0.1,3.8,0.2
10.0,0.1,3.3,0.2
10.0,0.1,3.2,0.2
10.0,0.1,3.3,0.2
10.0,0.1,3.3,0.2
10.0,0.1,3.4,0.2
